0	0	0	33.1514	34.0156
0	1	1	24.9692	24.5122
1	2	2	37.0068	24.4922
0	3	3	38.2246	32.8638
0	4	4	37.4287	29.4014
0	5	5	30.4902	33.0894
0	6	6	35.8906	22.0562
0	7	7	25.3389	25.375
0	8	8	40.6514	29.2646
2	9	9	26.8662	21.4727
0	10	10	27.873	30.936
0	11	11	38.7813	21.2529
0	12	12	29.8652	23.4849
0	13	13	27.7656	27.2173
0	14	14	27.0234	28.6973
0	15	15	35.3584	34.6787
0	16	16	33.0879	31.8486
0	17	17	36.5449	32.6553
0	18	18	23.2002	32.8228
0	19	19	39.3525	27.3369
0	20	20	31.374	25.0913
0	21	21	23.4199	21.376
