55.0001,64.7338	53.2982,64.4411	51.8811,65.4414	50.6938,66.6451	
55.0266,64.7527	53.3085,64.1283	51.9178,65.5477	50.8215,66.7874	
55.026,64.749	53.3896,64.3744	52.0904,65.7565	51.1641,67.2255	
55.0132,64.7499	53.5349,65.3909	52.8563,67.1861	51.7119,68.3263	
55.0264,64.7487	53.4227,64.6794	52.1892,65.9329	51.2007,67.2803	
55.0149,64.7679	53.3928,64.4794	52.111,65.8667	51.1475,67.2736	
55.0252,64.7372	53.4338,64.5943	51.9509,64.9268	50.5753,65.7683	
55.0261,64.7465	53.5296,64.8651	52.3331,66.2466	50.8394,66.8461	
54.998,64.7032	53.399,64.5589	52.2833,66.032	50.8612,66.7549	
54.9992,64.7394	53.5347,65.3633	52.9395,67.3817	52.5844,68.9615	
55.0257,64.7413	53.4501,64.653	52.2674,66.0771	51.4664,67.703	
55.0145,64.7262	53.4089,64.5998	52.1232,65.9053	50.4338,65.9082	
55.0256,64.7364	53.5567,65.1634	52.7137,66.9087	51.7067,68.1723	
55.0143,64.7581	53.4825,64.8327	52.2886,66.0051	51.3809,67.515	
55.0246,64.7287	53.662,65.8379	53.0852,67.6222	52.3487,69.0838	
55.0262,64.7512	53.4745,64.6368	52.1319,65.6431	51.2626,67.3087	
55.0009,64.7225	53.4052,64.7501	52.081,65.912	51.1871,67.365	
54.9882,64.7267	53.4161,64.5838	51.9214,65.3923	50.8492,66.776	
55.0262,64.7481	53.5348,65.1312	52.776,66.8096	51.9902,68.2049	
55.0016,64.7294	53.7043,65.9735	53.3145,67.9835	52.569,69.4057	
55.0147,64.7257	53.5334,65.1441	52.7739,66.9015	51.637,68.0463	
