1	4297064449	48	56.1565	61.928	7.99985
1	4295491585	48	55.8328	64.2258	7.99985
4	4297588737	105	66.2156	65.8379	7.99985
1	4296540161	48	56.019	63.2017	7.99985
1	4294967297	48	55.5977	66.9092	7.99985
1	4298899457	48	55.3975	67.7437	7.99985
1	4296278017	48	55.7756	65.032	7.99985
1	4298375169	48	56.4668	59.6038	7.99985
1	4295753729	48	56.3259	60.7786	7.99985
1	4296802305	48	55.657	65.925	7.99985
4	4297850881	105	66.1685	64.8184	7.99985
4	4298113025	105	66.1895	63.8372	7.99985
4	4295229441	105	66.1245	66.8218	7.99985
1	4296015873	48	55.2646	68.7402	7.99985
4	4298637313	105	66.2788	61.7725	7.99985
4	4297326593	105	66.2434	62.8682	7.99985
